%año         Mes      Dia      Hora     Cont    T1mx     T1mn  
 2011.00     7.00     2.00     7.00   105.00    29.34    21.89
 2011.00     7.00     3.00     7.00   106.00    29.69    21.48
 2011.00     7.00     4.00     7.00   107.00    29.62    22.58
 2011.00     7.00     5.00     7.00   108.00    30.37    23.09
 2011.00     7.00     6.00     7.00   109.00    30.98    22.68
 2011.00     7.00     7.00     7.00   110.00    31.12    23.09
 2011.00     7.00     8.00     7.00   111.00    30.75    22.88
 2011.00     7.00     9.00     7.00   112.00    30.68    23.23
 2011.00     7.00    10.00     7.00   113.00    30.88    23.26
 2011.00     7.00    11.00     7.00   114.00    28.73    23.67
 2011.00     7.00    12.00     7.00   115.00    29.79    22.06
 2011.00     7.00    13.00     7.00   116.00    30.64    22.65
 2011.00     7.00    14.00     7.00   117.00    28.25    22.34
 2011.00     7.00    15.00     7.00   118.00    28.22    22.54
 2011.00     7.00    16.00     7.00   119.00    28.42    22.51
 2011.00     7.00    17.00     7.00   120.00    28.87    23.57
 2011.00     7.00    18.00     7.00   121.00    30.37    23.12
 2011.00     7.00    19.00     7.00   122.00    30.75    21.52
 2011.00     7.00    20.00     7.00   123.00    29.99    22.41
 2011.00     7.00    21.00     7.00   124.00    30.13    23.70
 2011.00     7.00    22.00     7.00   125.00    29.75    23.57
 2011.00     7.00    23.00     7.00   126.00    28.28    23.43
 2011.00     7.00    24.00     7.00   127.00    27.57    21.72
 2011.00     7.00    25.00     7.00   128.00    29.28    23.02
 2011.00     7.00    26.00     7.00   129.00    28.63    22.00
 2011.00     7.00    27.00     7.00   130.00    29.34    22.47
 2011.00     7.00    28.00     7.00   131.00    30.23    22.54
 2011.00     7.00    29.00     7.00   132.00    30.98    23.12
 2011.00     7.00    30.00     7.00   133.00    26.99    21.93
 2011.00     7.00    31.00     7.00   134.00    29.65    22.41
 2011.00     8.00     1.00     7.00   135.00    28.87    22.51
 2011.00     8.00     2.00     7.00   136.00    30.13    22.47
 2011.00     8.00     3.00     7.00   137.00    29.79    22.30
 2011.00     8.00     4.00     7.00   138.00    29.17    22.65
 2011.00     8.00     5.00     7.00   139.00    30.23    22.78
 2011.00     8.00     6.00     7.00   140.00    31.05    23.23
 2011.00     8.00     7.00     7.00   141.00    31.29    22.82
 2011.00     8.00     8.00     7.00   142.00    31.16    23.29
 2011.00     8.00     9.00     7.00   143.00    31.09    22.61
 2011.00     8.00    10.00     7.00   144.00    31.16    24.29
 2011.00     8.00    11.00     7.00   145.00    30.23    22.44
 2011.00     8.00    12.00     7.00   146.00    29.45    22.03
 2011.00     8.00    13.00     7.00   147.00    30.40    22.37
 2011.00     8.00    14.00     7.00   148.00    30.20    21.83
 2011.00     8.00    15.00     7.00   149.00    31.70    22.34
 2011.00     8.00    16.00     7.00   150.00    31.19    21.72
 2011.00     8.00    17.00     7.00   151.00    30.13    22.10
